"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09"
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-28","8.05",,"0.00","0.0","0.0","57","65","44","  310","   10","18.1","25.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-29","9.62",,"0.00","0.0","0.0","57","68","44","  360","   10","19.9","29.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-04-30","7.61",,"0.00","0.0","0.0","58","68","47","  100","   50","14.1","19.9",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-05-01","7.83",,"0.01","0.0","0.0","57","66","49","  170","  170","18.1","23.9",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-05-02","8.28",,"0.00","0.0","0.0","64","80","52","  170","  190","17.0","23.9",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-05-03","7.38",,"0.05","0.0","0.0","69","83","56","  340","  340","36.9","47.0",,,"    1",,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-05-04","8.72",,"0.00","0.0","0.0","62","72","50","   50","   40","18.1","25.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-05-05","12.75",,"0.02","0.0","0.0","62","70","51","  100","  130","23.0","28.0","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-05-06","13.87",,"0.00","0.0","0.0","61","77","56","  140","  130","28.0","36.0","    1",,,,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-05-07","10.74",,"0.35","0.0","0.0","68","76","62","  160","  200","23.0","31.1","    1",,"    1",,,,"    1",
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-05-08","8.50",,"0.02","0.0","0.0","57","62","49","  330","   20","16.1","21.9","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-05-09","8.72",,"0.00","0.0","0.0","55","69","44","   20","   20","19.9","25.1",,,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-05-10","14.09",,"0.72","0.0","0.0","55","60","48","   80","  100","23.9","29.1","    1",,,,,,,
"USW00014922","MINNEAPOLIS ST. PAUL INTERNATIONAL AIRPORT, MN US","2015-05-11","12.75",,"0.07","0.0","0.0","53","55","44","  290","  290","19.9","25.9","    1",,,,,,,
